Data extracted on 02/04/2021 16:43:43 from [ESTAT];;;;;;;;;
Dataset: ;Social media use by purpose [ISOC_CISMP__custom_767933];;;;;;;;
Last updated: ;11/03/2021 11:00;;;;;;;;
;;;;;;;;;
Time frequency;;Annual;;;;;;;
Unit of measure;;Percentage of enterprises;;;;;;;
Enterprise size and Nace Rev. 2;;All enterprises, without financial sector (10 persons employed or more);;;;;;;
;;;;;;;;;
TIME;TIME;2013;;2015;;2017;;2019;
Lithuania;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Lithuania;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;12;;:;;:;;:;
Luxembourg;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
Luxembourg;Develop the enterprise's image or market products;19;;30;;40;;49;
Luxembourg;Obtain or respond to customer opinions, reviews questions;11;;16;;23;;29;
Luxembourg;Involve customers in development or innovation of goods or services;6;;9;;12;;12;
Luxembourg;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);6;;8;;12;;15;
Luxembourg;Recruit employees;9;;17;;29;;41;
Luxembourg;Exchange views, opinions or knowledge within the enterprise;7;;11;;14;;17;
Luxembourg;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);24;;36;;48;;58;
Luxembourg;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Luxembourg;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Luxembourg;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Luxembourg;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
Hungary;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Hungary;Develop the enterprise's image or market products;13;;20;;26;;29;
Hungary;Obtain or respond to customer opinions, reviews questions;7;;11;;16;;20;
Hungary;Involve customers in development or innovation of goods or services;2;;4;;5;;6;
Hungary;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);7;;8;;10;;10;
Hungary;Recruit employees;6;;12;;22;;25;
Hungary;Exchange views, opinions or knowledge within the enterprise;4;;7;;10;;9;
Hungary;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);19;;25;;35;;37;
Hungary;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Hungary;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Hungary;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Hungary;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Malta;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;13;;:;;:;;:;
Malta;Develop the enterprise's image or market products;32;;61;;65;;75;
Malta;Obtain or respond to customer opinions, reviews questions;44;;47;;51;;61;
Malta;Involve customers in development or innovation of goods or services;13;;16;;14;;23;
Malta;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);16;;17;;16;;27;
Malta;Recruit employees;19;;39;;50;;65;
Malta;Exchange views, opinions or knowledge within the enterprise;15;;20;;21;;30;
Malta;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);49;;68;;73;;82;
Malta;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Malta;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
Malta;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;18;;:;;:;;:;
Malta;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;21;;:;;:;;:;
Netherlands;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;14;;:;;:;;:;
Netherlands;Develop the enterprise's image or market products;38;;53;;57;;62;
Netherlands;Obtain or respond to customer opinions, reviews questions;24;;30;;31;;31;
Netherlands;Involve customers in development or innovation of goods or services;18;;21;;22;;22;
Netherlands;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);22;;25;;26;;27;
Netherlands;Recruit employees;25;;38;;50;;60;
Netherlands;Exchange views, opinions or knowledge within the enterprise;17;;20;;20;;21;
Netherlands;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);45;;59;;65;;71;
Netherlands;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Netherlands;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Netherlands;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Netherlands;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;26;;:;;:;;:;
Austria;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;7;;:;;:;;:;
Austria;Develop the enterprise's image or market products;32;;38;;46;;53;
Austria;Obtain or respond to customer opinions, reviews questions;14;;17;;21;;32;
Austria;Involve customers in development or innovation of goods or services;6;;7;;10;;11;
Austria;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);12;;9;;11;;17;
Austria;Recruit employees;16;;20;;29;;38;
Austria;Exchange views, opinions or knowledge within the enterprise;11;;9;;12;;18;
Austria;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);38;;41;;50;;58;
Austria;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;12;;:;;:;;:;
Austria;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Austria;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Austria;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;13;;:;;:;;:;
Poland;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Poland;Develop the enterprise's image or market products;15;;21;;25;;32;
Poland;Obtain or respond to customer opinions, reviews questions;10;;14;;18;;23;
Poland;Involve customers in development or innovation of goods or services;5;;7;;9;;10;
Poland;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);7;;9;;10;;12;
Poland;Recruit employees;6;;7;;11;;15;
Poland;Exchange views, opinions or knowledge within the enterprise;7;;8;;10;;11;
Poland;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);19;;22;;27;;36;
Poland;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Poland;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
Poland;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Poland;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Portugal;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Portugal;Develop the enterprise's image or market products;26;;34;;41;;40;
Portugal;Obtain or respond to customer opinions, reviews questions;16;;20;;28;;28;
Portugal;Involve customers in development or innovation of goods or services;12;;17;;21;;16;
Portugal;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);11;;14;;18;;18;
Portugal;Recruit employees;4;;9;;16;;26;
Portugal;Exchange views, opinions or knowledge within the enterprise;9;;11;;14;;18;
Portugal;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);33;;37;;45;;49;
Portugal;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;8;;:;;:;;:;
Portugal;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;0;n;:;;:;;:;
Portugal;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Portugal;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;0;;:;;:;;:;
Romania;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
Romania;Develop the enterprise's image or market products;13;;18;;28;;28;
Romania;Obtain or respond to customer opinions, reviews questions;10;;13;;20;;18;
Romania;Involve customers in development or innovation of goods or services;7;;7;;11;;9;
Romania;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);10;;9;;13;;12;
Romania;Recruit employees;7;;8;;11;;14;
Romania;Exchange views, opinions or knowledge within the enterprise;7;;7;;10;;10;
Romania;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);16;;21;;31;;31;
Romania;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Romania;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;1;;:;;:;;:;
Romania;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;8;;:;;:;;:;
Romania;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Slovenia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
Slovenia;Develop the enterprise's image or market products;30;;31;;33;;35;
Slovenia;Obtain or respond to customer opinions, reviews questions;17;;21;;20;;23;
Slovenia;Involve customers in development or innovation of goods or services;9;;7;;6;;7;
Slovenia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);10;;8;;8;;9;
Slovenia;Recruit employees;8;;10;;13;;20;
Slovenia;Exchange views, opinions or knowledge within the enterprise;7;;9;;7;;9;
Slovenia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);32;;35;;38;;42;
Slovenia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;8;;:;;:;;:;
Slovenia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Slovenia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
Slovenia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
Slovakia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
Slovakia;Develop the enterprise's image or market products;17;;25;;27;;28;
Slovakia;Obtain or respond to customer opinions, reviews questions;15;;21;;23;;23;
Slovakia;Involve customers in development or innovation of goods or services;5;;8;;8;;8;
Slovakia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);8;;9;;13;;11;
Slovakia;Recruit employees;6;;11;;19;;21;
Slovakia;Exchange views, opinions or knowledge within the enterprise;7;;7;;10;;10;
Slovakia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);22;;29;;34;;37;
Slovakia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Slovakia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Slovakia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Slovakia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Finland;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;8;;:;;:;;:;
Finland;Develop the enterprise's image or market products;31;;42;;56;;64;
Finland;Obtain or respond to customer opinions, reviews questions;21;;28;;36;;41;
Finland;Involve customers in development or innovation of goods or services;13;;14;;17;;22;
Finland;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);14;;18;;24;;33;
Finland;Recruit employees;14;;21;;33;;47;
Finland;Exchange views, opinions or knowledge within the enterprise;13;;16;;23;;31;
Finland;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);35;;46;;59;;67;
Finland;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Finland;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
Finland;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;13;;:;;:;;:;
Finland;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;13;;:;;:;;:;
Sweden;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;10;;:;;:;;:;
Sweden;Develop the enterprise's image or market products;36;;41;;50;;58;
Sweden;Obtain or respond to customer opinions, reviews questions;22;;27;;35;;38;
Sweden;Involve customers in development or innovation of goods or services;13;;12;;14;;20;
Sweden;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);11;;12;;14;;17;
Sweden;Recruit employees;19;;27;;42;;50;
Sweden;Exchange views, opinions or knowledge within the enterprise;15;;13;;17;;18;
Sweden;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);40;;47;;58;;66;
Sweden;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Sweden;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Sweden;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Sweden;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;16;;:;;:;;:;
Iceland;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;15;;:;;:;;:;
Iceland;Develop the enterprise's image or market products;47;;:;;66;;53;
Iceland;Obtain or respond to customer opinions, reviews questions;30;;:;;54;;51;
Iceland;Involve customers in development or innovation of goods or services;8;;:;;9;;8;
Iceland;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);15;;:;;5;;6;
Iceland;Recruit employees;18;;:;;35;;24;
Iceland;Exchange views, opinions or knowledge within the enterprise;24;;:;;38;;34;
Iceland;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);52;;:;;75;;61;
Iceland;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;15;;:;;:;;:;
Iceland;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Iceland;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;15;;:;;:;;:;
Iceland;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;18;;:;;:;;:;
Norway;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;11;;:;;:;;:;
Norway;Develop the enterprise's image or market products;30;;51;;49;;54;
Norway;Obtain or respond to customer opinions, reviews questions;21;;28;;31;;32;
Norway;Involve customers in development or innovation of goods or services;13;;15;;16;;17;
Norway;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);12;;15;;16;;19;
Norway;Recruit employees;24;;33;;43;;49;
Norway;Exchange views, opinions or knowledge within the enterprise;17;;23;;28;;29;
Norway;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);39;;56;;62;;68;
Norway;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Norway;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
Norway;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;16;;:;;:;;:;
Norway;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;12;;:;;:;;:;
United Kingdom;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;9;;:;;:;;:;
United Kingdom;Develop the enterprise's image or market products;33;;44;;52;;65;
United Kingdom;Obtain or respond to customer opinions, reviews questions;23;;32;;39;;40;
United Kingdom;Involve customers in development or innovation of goods or services;12;;14;;13;;20;
United Kingdom;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);13;;12;;14;;16;
United Kingdom;Recruit employees;12;;23;;37;;36;
United Kingdom;Exchange views, opinions or knowledge within the enterprise;16;;17;;24;;20;
United Kingdom;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);40;;50;;58;;71;
United Kingdom;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
United Kingdom;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
United Kingdom;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
United Kingdom;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;20;;:;;:;;:;
Montenegro;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;:;;:;;:;;:;
Montenegro;Develop the enterprise's image or market products;:;;:;;44;;45;
Montenegro;Obtain or respond to customer opinions, reviews questions;:;;:;;40;;41;
Montenegro;Involve customers in development or innovation of goods or services;:;;:;;31;;31;
Montenegro;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);:;;:;;31;;33;
Montenegro;Recruit employees;:;;:;;24;;27;
Montenegro;Exchange views, opinions or knowledge within the enterprise;:;;:;;23;;25;
Montenegro;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);:;;:;;49;;47;
Montenegro;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Montenegro;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Montenegro;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Montenegro;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
North Macedonia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
North Macedonia;Develop the enterprise's image or market products;25;;38;;:;;:;
North Macedonia;Obtain or respond to customer opinions, reviews questions;21;;27;;:;;:;
North Macedonia;Involve customers in development or innovation of goods or services;13;;15;;:;;:;
North Macedonia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);18;;21;;:;;:;
North Macedonia;Recruit employees;10;;15;;:;;:;
North Macedonia;Exchange views, opinions or knowledge within the enterprise;15;;21;;:;;:;
North Macedonia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);31;;44;;:;;:;
North Macedonia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
North Macedonia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
North Macedonia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
North Macedonia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;12;;:;;:;;:;
Serbia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;:;;:;;:;;:;
Serbia;Develop the enterprise's image or market products;:;;:;;27;;42;
Serbia;Obtain or respond to customer opinions, reviews questions;:;;:;;17;;34;
Serbia;Involve customers in development or innovation of goods or services;:;;:;;14;;21;
Serbia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);:;;:;;11;;23;
Serbia;Recruit employees;:;;:;;7;;19;
Serbia;Exchange views, opinions or knowledge within the enterprise;:;;:;;8;;19;
Serbia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);:;;:;;29;;45;
Serbia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Serbia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Serbia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Serbia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Turkey;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;:;;:;;:;;:;
Turkey;Develop the enterprise's image or market products;:;;:;u;:;;43;
Turkey;Obtain or respond to customer opinions, reviews questions;:;;:;u;:;;33;
Turkey;Involve customers in development or innovation of goods or services;:;;:;u;:;;25;
Turkey;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);:;;:;u;:;;20;
Turkey;Recruit employees;:;;:;u;:;;18;
Turkey;Exchange views, opinions or knowledge within the enterprise;:;;:;u;:;;27;
Turkey;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);:;;:;u;:;;50;
Turkey;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Turkey;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Turkey;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Turkey;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Bosnia and Herzegovina;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;:;;:;;:;;:;
Bosnia and Herzegovina;Develop the enterprise's image or market products;:;;:;;:;;41;
Bosnia and Herzegovina;Obtain or respond to customer opinions, reviews questions;:;;:;;:;;27;
Bosnia and Herzegovina;Involve customers in development or innovation of goods or services;:;;:;;:;;17;
Bosnia and Herzegovina;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);:;;:;;:;;24;
Bosnia and Herzegovina;Recruit employees;:;;:;;:;;20;
Bosnia and Herzegovina;Exchange views, opinions or knowledge within the enterprise;:;;:;;:;;17;
Bosnia and Herzegovina;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);:;;:;;:;;46;
Bosnia and Herzegovina;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Bosnia and Herzegovina;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Bosnia and Herzegovina;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
Bosnia and Herzegovina;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;:;;:;;:;;:;
;;;;;;;;;
Special value;;;;;;;;;
:;not available;;;;;;;;
Available flags:;;;;;;;;;
n;not significant;;;;;;;;
u;low reliability;;;;;;;;
