TIME;TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;
Luxembourg;Individuals, 35 to 44 years old;32;;41;;44;;47;;50;;46;;54;;55;b;57;;85;
Luxembourg;Individuals, 45 to 54 years old;28;;35;;39;;36;;42;;49;;55;;43;b;47;;73;
Luxembourg;Individuals, 55 to 64 years old;30;;35;;39;;36;;40;;45;;49;;34;b;41;;64;
Luxembourg;Individuals, 65 to 74 years old;19;;21;;22;;25;;33;;43;;46;;32;b;32;;51;
Luxembourg;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Luxembourg;Individuals with no or low formal education;22;;24;;31;;28;;41;;53;;59;;34;b;44;;70;
Luxembourg;Individuals with medium formal education;25;;31;;40;;34;;43;;47;;51;;46;b;52;;74;
Luxembourg;Individuals with high formal education;45;;48;;51;;51;;55;;57;;58;;65;b;67;;88;
Hungary;All Individuals;23;;31;;28;;40;;40;;42;;45;;45;;61;;68;
Hungary;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Hungary;Individuals, 16 to 24 years old;36;;45;;41;;62;;63;;65;;65;;70;;87;;89;
Hungary;Individuals, 25 to 34 years old;32;;41;;37;;51;;53;;54;;62;;63;;77;;86;
Hungary;Individuals, 35 to 44 years old;26;;37;;33;;46;;46;;46;;53;;55;;74;;77;
Hungary;Individuals, 45 to 54 years old;19;;29;;26;;37;;38;;40;;46;;44;;60;;68;
Hungary;Individuals, 55 to 64 years old;14;;20;;17;;28;;26;;33;;32;;29;;44;;52;
Hungary;Individuals, 65 to 74 years old;6;;10;;9;;14;;14;;17;;15;;13;;23;;36;
Hungary;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Hungary;Individuals with no or low formal education;10;;17;;11;;22;;21;;25;;29;;30;;41;;49;
Hungary;Individuals with medium formal education;23;;30;;28;;39;;39;;42;;45;;44;;61;;65;
Hungary;Individuals with high formal education;38;;47;;44;;57;;58;;60;;62;;60;;76;;83;
Malta;All Individuals;24;;25;;30;;29;;35;;38;;46;;48;;55;;63;
Malta;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Malta;Individuals, 16 to 24 years old;41;;47;;56;;45;;53;;62;;74;;71;;75;;92;
Malta;Individuals, 25 to 34 years old;30;;31;;41;;36;;53;;56;;60;;66;;70;;75;
Malta;Individuals, 35 to 44 years old;24;;27;;31;;30;;32;;39;;54;;57;;63;;68;
Malta;Individuals, 45 to 54 years old;13;;21;;21;;23;;27;;30;;42;;42;;51;;56;
Malta;Individuals, 55 to 64 years old;20;;13;;19;;21;;23;;22;;26;;27;;38;;45;
Malta;Individuals, 65 to 74 years old;10;;13;;9;;17;;16;;17;;16;;19;;25;;35;
Malta;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Malta;Individuals with no or low formal education;13;;14;;16;;15;;19;;22;;33;;33;;43;;53;
Malta;Individuals with medium formal education;35;;38;;42;;37;;40;;47;;56;;58;;61;;65;
Malta;Individuals with high formal education;46;;47;;59;;54;;58;;62;;63;;69;;70;;78;
Netherlands;All Individuals;38;;39;;29;;32;;31;;37;;44;;58;;61;;83;
Netherlands;Individuals, 15 years old or less;40;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Netherlands;Individuals, 16 to 24 years old;54;;55;;44;;46;;46;;54;;65;;79;;79;;92;
Netherlands;Individuals, 25 to 34 years old;52;;51;;36;;43;;42;;50;;58;;69;;73;;89;
Netherlands;Individuals, 35 to 44 years old;43;;41;;28;;34;;35;;36;;48;;64;;64;;89;
Netherlands;Individuals, 45 to 54 years old;31;;34;;28;;26;;27;;32;;37;;55;;58;;84;
Netherlands;Individuals, 55 to 64 years old;27;;28;;22;;25;;21;;27;;33;;45;;51;;77;
Netherlands;Individuals, 65 to 74 years old;15;;21;;15;;18;;18;;21;;27;;33;;41;;65;
Netherlands;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Netherlands;Individuals with no or low formal education;27;;28;;23;;23;;22;;26;;34;;47;;50;;72;
Netherlands;Individuals with medium formal education;38;;37;;26;;28;;30;;34;;43;;59;;60;;84;
Netherlands;Individuals with high formal education;49;;52;;39;;46;;42;;49;;55;;66;;71;;91;
Austria;All Individuals;23;;23;;21;;23;;26;;27;;37;;39;;41;;60;
Austria;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Austria;Individuals, 16 to 24 years old;33;;33;;28;;37;;39;;39;;55;;60;;65;;84;
Austria;Individuals, 25 to 34 years old;39;;37;;37;;33;;40;;41;;49;;55;;54;;79;
Austria;Individuals, 35 to 44 years old;25;;25;;25;;24;;30;;31;;47;;44;;53;;71;
Austria;Individuals, 45 to 54 years old;18;;21;;16;;21;;20;;21;;33;;34;;33;;54;
Austria;Individuals, 55 to 64 years old;13;;14;;14;;15;;15;;17;;22;;25;;27;;42;
Austria;Individuals, 65 to 74 years old;7;;7;;7;;10;;13;;11;;16;;17;;17;;29;
Austria;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Austria;Individuals with no or low formal education;17;;17;;16;;13;;15;;23;;27;;38;;39;;51;
Austria;Individuals with medium formal education;20;;22;;19;;19;;24;;22;;34;;33;;36;;52;
Austria;Individuals with high formal education;39;;37;;36;;37;;36;;37;;45;;50;;49;;77;
Poland;All Individuals;21;;24;;24;;28;;28;;28;;32;;34;;49;;55;
Poland;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Poland;Individuals, 16 to 24 years old;37;;43;;48;;53;;55;;52;;57;;61;;83;;88;
Poland;Individuals, 25 to 34 years old;32;;38;;35;;41;;40;;38;;42;;51;;69;;75;
Poland;Individuals, 35 to 44 years old;24;;27;;26;;31;;31;;30;;35;;37;;57;;66;
Poland;Individuals, 45 to 54 years old;14;;17;;18;;20;;19;;21;;26;;26;;40;;50;
Poland;Individuals, 55 to 64 years old;12;;12;;13;;15;;16;;16;;17;;18;;27;;34;
Poland;Individuals, 65 to 74 years old;4;;6;;6;;8;;8;;9;;12;;11;;16;;19;
Poland;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Poland;Individuals with no or low formal education;17;;17;;18;;23;;26;;24;;30;;33;;45;;56;
Poland;Individuals with medium formal education;19;;21;;20;;23;;23;;24;;26;;29;;43;;46;
Poland;Individuals with high formal education;35;;40;;40;;43;;42;;41;;47;;49;;65;;73;
Portugal;All Individuals;14;;19;;23;;24;;26;;28;;32;;34;;40;;55;
Portugal;Individuals, 15 years old or less;:;;34;;:;;:;;:;;:;;:;;:;;:;;:;
Portugal;Individuals, 16 to 24 years old;29;;38;;47;;52;;52;;59;;60;;65;;64;;84;
Portugal;Individuals, 25 to 34 years old;22;;33;;36;;39;;39;;40;;48;;55;;61;;80;
Portugal;Individuals, 35 to 44 years old;18;;21;;27;;26;;30;;32;;42;;43;;52;;75;
Portugal;Individuals, 45 to 54 years old;8;;13;;15;;18;;20;;24;;27;;28;;38;;53;
Portugal;Individuals, 55 to 64 years old;8;;7;;9;;11;;14;;15;;19;;17;;24;;38;
Portugal;Individuals, 65 to 74 years old;3;;5;;7;;8;;8;;7;;10;;11;;12;;20;
Portugal;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Portugal;Individuals with no or low formal education;7;;10;;13;;14;;14;;17;;19;;21;;23;;33;
Portugal;Individuals with medium formal education;24;;30;;36;;37;;38;;38;;46;;45;;50;;68;
Portugal;Individuals with high formal education;33;;40;;43;;45;;47;;47;;52;;54;;64;;81;
Romania;All Individuals;11;;22;;10;;23;b;24;;27;;34;;36;;49;;56;
Romania;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Romania;Individuals, 16 to 24 years old;21;;43;;18;;40;b;44;;47;;56;;59;;74;;76;
Romania;Individuals, 25 to 34 years old;18;;32;;16;;35;b;37;;38;;49;;49;;65;;71;
Romania;Individuals, 35 to 44 years old;10;;22;;9;;26;b;24;;31;;39;;43;;58;;63;
Romania;Individuals, 45 to 54 years old;7;;17;;7;;18;b;17;;20;;29;;32;;46;;55;
Romania;Individuals, 55 to 64 years old;4;;9;;5;;10;b;11;;14;;18;;20;;34;;39;
Romania;Individuals, 65 to 74 years old;1;;2;;1;;4;b;6;;6;;8;;11;;18;;25;
Romania;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Romania;Individuals with no or low formal education;4;;10;;4;;10;b;13;;16;;20;;22;;34;;40;
Romania;Individuals with medium formal education;10;;22;;9;;23;b;23;;26;;34;;36;;50;;56;
Romania;Individuals with high formal education;32;;53;;27;;49;b;48;;49;;54;;56;;69;;79;
Slovenia;All Individuals;17;;20;;26;;29;;26;;32;;37;;40;;42;;52;
Slovenia;Individuals, 15 years old or less;22;;39;;49;;51;;:;;:;;:;;:;;:;;:;
Slovenia;Individuals, 16 to 24 years old;30;;42;;47;;49;;51;;58;;60;;63;;59;;72;
Slovenia;Individuals, 25 to 34 years old;27;;27;;39;;44;;38;;50;;57;;62;;56;;74;
Slovenia;Individuals, 35 to 44 years old;17;;23;;27;;35;;31;;39;;44;;48;;51;;62;
Slovenia;Individuals, 45 to 54 years old;10;;16;;18;;23;;19;;25;;33;;39;;43;;51;
Slovenia;Individuals, 55 to 64 years old;11;;7;;17;;17;;14;;13;;18;;19;;28;;34;
Slovenia;Individuals, 65 to 74 years old;5;;4;;6;;9;;8;;8;;13;;14;;17;;21;
Slovenia;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Slovenia;Individuals with no or low formal education;11;;13;;15;;12;;18;;25;;28;;31;;30;;40;
Slovenia;Individuals with medium formal education;14;;19;;24;;30;;23;;28;;34;;39;;38;;48;
Slovenia;Individuals with high formal education;30;;30;;43;;47;;43;;47;;51;;50;;59;;68;
Slovakia;All Individuals;40;;47;;40;;44;;42;;46;;45;;41;;55;;63;
Slovakia;Individuals, 15 years old or less;53;;62;;58;;62;;55;;66;;59;;:;;:;;:;
Slovakia;Individuals, 16 to 24 years old;63;;69;;65;;64;;64;;71;;68;;63;;84;;84;
Slovakia;Individuals, 25 to 34 years old;53;;65;;52;;57;;56;;54;;58;;50;;70;;79;
Slovakia;Individuals, 35 to 44 years old;42;;51;;40;;46;;46;;49;;50;;47;;63;;70;
Slovakia;Individuals, 45 to 54 years old;31;;42;;35;;41;;36;;44;;39;;39;;53;;61;
Slovakia;Individuals, 55 to 64 years old;19;;27;;26;;27;;26;;31;;31;;29;;36;;49;
Slovakia;Individuals, 65 to 74 years old;5;;11;;11;;16;;15;;18;;17;;15;;18;;31;
Slovakia;Individuals, 75 years old or more;3;;3;;9;;8;;5;;5;;6;;:;;:;;:;
Slovakia;Individuals with no or low formal education;39;;41;;33;;41;;38;;40;;34;;35;;46;;60;
Slovakia;Individuals with medium formal education;36;;43;;36;;40;;39;;43;;42;;38;;51;;60;
Slovakia;Individuals with high formal education;54;;61;;53;;55;;56;;58;;60;;55;;69;;74;
Finland;All Individuals;15;;21;;22;;28;;27;;32;;35;;44;;65;;78;
Finland;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Finland;Individuals, 16 to 24 years old;16;;34;;31;;46;;47;;52;;57;;62;;82;;87;
Finland;Individuals, 25 to 34 years old;22;;28;;35;;40;;37;;39;;47;;54;;76;;91;
Finland;Individuals, 35 to 44 years old;17;;22;;24;;29;;28;;38;;43;;56;;76;;86;
Finland;Individuals, 45 to 54 years old;13;;16;;14;;20;;17;;29;;28;;42;;63;;82;
Finland;Individuals, 55 to 64 years old;11;;14;;15;;19;;21;;19;;23;;33;;59;;69;
Finland;Individuals, 65 to 74 years old;10;;11;;17;;17;;14;;16;;15;;21;;38;;55;
Finland;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Finland;Individuals with no or low formal education;10;;20;;21;;27;;29;;33;;34;;39;;61;;69;
Finland;Individuals with medium formal education;14;;19;;20;;23;;24;;28;;32;;40;;60;;75;
Finland;Individuals with high formal education;20;;24;;26;;34;;29;;36;;39;;53;;74;;87;
Sweden;All Individuals;27;;38;;39;;49;;39;;48;b;56;;53;;63;b;73;
Sweden;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Sweden;Individuals, 16 to 24 years old;45;;61;;66;;66;;55;;61;b;80;;75;;68;b;83;
Sweden;Individuals, 25 to 34 years old;41;;49;;49;;67;;51;;61;b;69;;66;;78;b;85;
Sweden;Individuals, 35 to 44 years old;30;;39;;41;;55;;44;;52;b;65;;64;;77;b;78;
Sweden;Individuals, 45 to 54 years old;18;;31;;34;;39;;31;;48;b;49;;41;;62;b;75;
Sweden;Individuals, 55 to 64 years old;17;;24;;24;;36;;36;;34;b;40;;43;;56;b;63;
Sweden;Individuals, 65 to 74 years old;10;;21;;19;;26;;17;;29;b;29;;32;;32;b;48;
Sweden;Individuals, 75 years old or more;:;;:;;:;;9;;:;;:;;:;;:;;:;;:;
Sweden;Individuals with no or low formal education;24;;36;;39;;46;;34;;37;b;44;;50;;50;b;65;
Sweden;Individuals with medium formal education;26;;33;;33;;45;;35;;47;b;53;;48;;59;b;67;
Sweden;Individuals with high formal education;32;;48;;50;;56;;50;;56;b;68;;65;;75;b;85;
Iceland;All Individuals;44;;52;;61;;50;;:;;:;;53;;55;;64;;74;
Iceland;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Iceland;Individuals, 16 to 24 years old;59;;63;;74;;58;;:;;:;;56;;61;;67;;80;
Iceland;Individuals, 25 to 34 years old;50;;63;;70;;62;;:;;:;;68;;67;;73;;81;
Iceland;Individuals, 35 to 44 years old;40;;55;;64;;54;;:;;:;;56;;59;;72;;78;
Iceland;Individuals, 45 to 54 years old;43;;47;;59;;46;;:;;:;;51;;48;;69;;74;
Iceland;Individuals, 55 to 64 years old;38;;44;;46;;43;;:;;:;;49;;53;;55;;69;
Iceland;Individuals, 65 to 74 years old;24;;30;;40;;28;;:;;:;;30;;31;;38;;51;
Iceland;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Iceland;Individuals with no or low formal education;39;;45;;50;;44;;:;;:;;45;;44;;56;;66;
Iceland;Individuals with medium formal education;45;;50;;61;;47;;:;;:;;51;;53;;59;;74;
Iceland;Individuals with high formal education;52;;63;;71;;59;;:;;:;;64;;65;;74;;80;
Norway;All Individuals;24;;36;;36;;43;;45;;47;;53;;56;;64;;79;
Norway;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Norway;Individuals, 16 to 24 years old;36;;57;;54;;59;;51;;65;;71;;77;;77;;92;
Norway;Individuals, 25 to 34 years old;33;;48;;55;;63;;55;;58;;72;;65;;75;;89;
Norway;Individuals, 35 to 44 years old;26;;36;;35;;42;;56;;51;;61;;65;;73;;89;
Norway;Individuals, 45 to 54 years old;20;;32;;29;;43;;37;;42;;42;;54;;64;;81;
Norway;Individuals, 55 to 64 years old;13;;25;;26;;30;;32;;36;;39;;37;;48;;68;
Norway;Individuals, 65 to 74 years old;12;;13;;8;;13;;32;;22;;25;;32;;43;;47;
Norway;Individuals, 75 years old or more;2;u;2;;9;u;10;u;15;u;12;u;7;;27;u;26;u;30;
Norway;Individuals with no or low formal education;20;;36;;34;;48;;39;;51;;51;;55;;67;;75;
Norway;Individuals with medium formal education;18;;29;;25;;32;;37;;34;;42;;45;;54;;72;
Norway;Individuals with high formal education;33;;37;;45;;51;;54;;54;;61;;62;;70;;85;
Switzerland;All Individuals;:;;:;;:;;34;;:;;:;;43;b;:;;69;;:;
Switzerland;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Switzerland;Individuals, 16 to 24 years old;:;;:;;:;;43;;:;;:;;56;b;:;;85;;:;
Switzerland;Individuals, 25 to 34 years old;:;;:;;:;;49;;:;;:;;51;b;:;;80;;:;
Switzerland;Individuals, 35 to 44 years old;:;;:;;:;;40;;:;;:;;49;b;:;;78;;:;
Switzerland;Individuals, 45 to 54 years old;:;;:;;:;;32;;:;;:;;41;b;:;;68;;:;
Switzerland;Individuals, 55 to 64 years old;:;;:;;:;;22;;:;;:;;37;b;:;;57;;:;
Switzerland;Individuals, 65 to 74 years old;:;;:;;:;;10;;:;;:;;22;b;:;;43;;:;
Switzerland;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Switzerland;Individuals with no or low formal education;:;;:;;:;;32;;:;;:;;41;b;:;;64;;:;
Switzerland;Individuals with medium formal education;:;;:;;:;;27;;:;;:;;38;b;:;;66;;:;
Switzerland;Individuals with high formal education;:;;:;;:;;44;;:;;:;;53;b;:;;75;;:;
United Kingdom;All Individuals;:;;35;;27;;30;;39;;46;;50;;49;;54;;52;
United Kingdom;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
United Kingdom;Individuals, 16 to 24 years old;:;;45;;39;;39;;42;;58;;69;;61;;77;;70;
United Kingdom;Individuals, 25 to 34 years old;:;;49;;40;;43;;52;;55;;64;;66;;70;;67;
United Kingdom;Individuals, 35 to 44 years old;:;;40;;28;;36;;50;;55;;60;;59;;64;;66;
United Kingdom;Individuals, 45 to 54 years old;:;;31;;22;;21;;36;;46;;42;;41;;48;;46;
United Kingdom;Individuals, 55 to 64 years old;:;;23;;18;;22;;31;;35;;35;;33;;33;;34;
United Kingdom;Individuals, 65 to 74 years old;:;;15;;11;;15;;22;;24;;25;;27;;27;;26;
United Kingdom;Individuals, 75 years old or more;:;;6;;:;;:;;:;;:;;:;;:;;:;;:;
United Kingdom;Individuals with no or low formal education;:;;14;;10;;13;;24;;26;;24;;23;;15;b;:;u
United Kingdom;Individuals with medium formal education;:;;33;;24;;25;;36;;43;;48;;45;;52;b;50;
United Kingdom;Individuals with high formal education;:;;46;;38;;43;;50;;58;;60;;61;;62;b;62;
Montenegro;All Individuals;:;;35;;:;;:;;:;;:;;59;;60;;62;;73;
Montenegro;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Montenegro;Individuals, 16 to 24 years old;:;;56;;:;;:;;:;;:;;79;;81;;94;;98;
Montenegro;Individuals, 25 to 34 years old;:;;43;;:;;:;;:;;:;;84;;84;;91;;97;
Montenegro;Individuals, 35 to 44 years old;:;;33;;:;;:;;:;;:;;73;;80;;78;;91;
Montenegro;Individuals, 45 to 54 years old;:;;28;;:;;:;;:;;:;;53;;54;;57;;78;
Montenegro;Individuals, 55 to 64 years old;:;;17;;:;;:;;:;;:;;39;;38;;42;;59;
Montenegro;Individuals, 65 to 74 years old;:;;11;;:;;:;;:;;:;;14;;12;;21;;27;
Montenegro;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Montenegro;Individuals with no or low formal education;:;;12;;:;;:;;:;;:;;25;u;35;;44;;40;
Montenegro;Individuals with medium formal education;:;;32;;:;;:;;:;;:;;53;;61;;59;;73;
Montenegro;Individuals with high formal education;:;;57;;:;;:;;:;;:;;76;;74;;79;;90;
North Macedonia;All Individuals;:;;43;;40;;46;;51;;54;;57;;60;;65;;74;
North Macedonia;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;u;:;u;:;u;:;u
North Macedonia;Individuals, 16 to 24 years old;:;;68;;63;;75;;73;;77;;79;;:;u;83;;94;
North Macedonia;Individuals, 25 to 34 years old;:;;62;;50;;54;;71;;71;;75;;:;u;80;;92;
North Macedonia;Individuals, 35 to 44 years old;:;;45;;44;;44;;56;;58;;65;;65;;75;;82;
North Macedonia;Individuals, 45 to 54 years old;:;;32;;34;;46;;44;;48;;53;;62;;65;;74;
North Macedonia;Individuals, 55 to 64 years old;:;;19;;20;;27;;22;;34;;37;;61;;45;;52;
North Macedonia;Individuals, 65 to 74 years old;:;;6;;8;;13;;16;;19;;16;;56;;28;;37;
North Macedonia;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;u;60;;:;;:;
North Macedonia;Individuals with no or low formal education;:;;29;;28;;34;;33;;39;;46;;49;;51;;62;
North Macedonia;Individuals with medium formal education;:;;49;;45;;49;;55;;58;;56;;59;;68;;76;
North Macedonia;Individuals with high formal education;:;;65;;54;;64;;73;;73;;80;;80;;76;;90;
Albania;All Individuals;:;;:;;:;;:;;:;;:;;:;;57;;:;;:;
Albania;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Albania;Individuals, 16 to 24 years old;:;;:;;:;;:;;:;;:;;:;;81;;:;;:;
Albania;Individuals, 25 to 34 years old;:;;:;;:;;:;;:;;:;;:;;79;;:;;:;
Albania;Individuals, 35 to 44 years old;:;;:;;:;;:;;:;;:;;:;;62;;:;;:;
Albania;Individuals, 45 to 54 years old;:;;:;;:;;:;;:;;:;;:;;43;;:;;:;
Albania;Individuals, 55 to 64 years old;:;;:;;:;;:;;:;;:;;:;;35;;:;;:;
Albania;Individuals, 65 to 74 years old;:;;:;;:;;:;;:;;:;;:;;26;;:;;:;
Albania;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Albania;Individuals with no or low formal education;:;;:;;:;;:;;:;;:;;:;;38;;:;;:;
Albania;Individuals with medium formal education;:;;:;;:;;:;;:;;:;;:;;65;;:;;:;
Albania;Individuals with high formal education;:;;:;;:;;:;;:;;:;;:;;88;;:;;:;
Serbia;All Individuals;:;;:;;:;;:;;34;;:;;46;;49;;63;;63;
Serbia;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Serbia;Individuals, 16 to 24 years old;:;;:;;:;;:;;50;;:;;70;;67;;88;;92;
Serbia;Individuals, 25 to 34 years old;:;;:;;:;;:;;48;;:;;68;;68;;86;;90;
Serbia;Individuals, 35 to 44 years old;:;;:;;:;;:;;51;;:;;58;;60;;78;;84;
Serbia;Individuals, 45 to 54 years old;:;;:;;:;;:;;28;;:;;41;;54;;65;;75;
Serbia;Individuals, 55 to 64 years old;:;;:;;:;;:;;21;;:;;28;;33;;46;;56;
Serbia;Individuals, 65 to 74 years old;:;;:;;:;;:;;5;;:;;11;;17;;20;;35;
Serbia;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Serbia;Individuals with no or low formal education;:;;:;;:;;:;;15;;:;;26;;27;;41;;41;
Serbia;Individuals with medium formal education;:;;:;;:;;:;;42;;:;;50;;57;;70;;64;
Serbia;Individuals with high formal education;:;;:;;:;;:;;55;;:;;64;;65;;81;;80;
Turkey;All Individuals;:;;18;;24;;18;;20;;24;;40;;49;;61;;68;
Turkey;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Turkey;Individuals, 16 to 24 years old;:;;34;;39;;33;;33;;38;;59;;67;;79;;83;
Turkey;Individuals, 25 to 34 years old;:;;26;;44;;25;;30;;37;;58;;68;;81;;86;
Turkey;Individuals, 35 to 44 years old;:;;15;;16;;16;;18;;25;;42;;55;;71;;79;
Turkey;Individuals, 45 to 54 years old;:;;8;;9;;8;;10;;13;;25;;37;;53;;62;
Turkey;Individuals, 55 to 64 years old;:;;3;;5;;5;;5;;6;;14;;23;;29;;40;
Turkey;Individuals, 65 to 74 years old;:;;1;;2;;2;;2;;2;;5;;9;;13;;21;
Turkey;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Turkey;Individuals with no or low formal education;:;;9;;4;;9;;10;;14;;27;;37;;47;;55;
Turkey;Individuals with medium formal education;:;;34;;56;;32;;33;;38;;59;;67;;81;;85;
Turkey;Individuals with high formal education;:;;47;;94;;41;;45;;51;;69;;74;;87;;93;
Bosnia and Herzegovina;All Individuals;:;;:;;:;;:;;:;;:;;:;;56;;60;;66;
Bosnia and Herzegovina;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Bosnia and Herzegovina;Individuals, 16 to 24 years old;:;;:;;:;;:;;:;;:;;:;;76;;95;;90;
Bosnia and Herzegovina;Individuals, 25 to 34 years old;:;;:;;:;;:;;:;;:;;:;;76;;95;;88;
Bosnia and Herzegovina;Individuals, 35 to 44 years old;:;;:;;:;;:;;:;;:;;:;;77;;86;;87;
Bosnia and Herzegovina;Individuals, 45 to 54 years old;:;;:;;:;;:;;:;;:;;:;;62;;61;;77;
Bosnia and Herzegovina;Individuals, 55 to 64 years old;:;;:;;:;;:;;:;;:;;:;;40;;37;;53;
Bosnia and Herzegovina;Individuals, 65 to 74 years old;:;;:;;:;;:;;:;;:;;:;;21;;23;;31;
Bosnia and Herzegovina;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Bosnia and Herzegovina;Individuals with no or low formal education;:;;:;;:;;:;;:;;:;;:;;33;;24;;41;
Bosnia and Herzegovina;Individuals with medium formal education;:;;:;;:;;:;;:;;:;;:;;63;;70;;73;
Bosnia and Herzegovina;Individuals with high formal education;:;;:;;:;;:;;:;;:;;:;;82;;86;;84;
Kosovo (under United Nations Security Council Resolution 1244/99);All Individuals;:;;:;;:;;:;;:;;:;;80;;85;;81;;94;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 16 to 24 years old;:;;:;;:;;:;;:;;:;;93;;96;;94;;98;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 25 to 34 years old;:;;:;;:;;:;;:;;:;;90;;93;;88;;98;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 35 to 44 years old;:;;:;;:;;:;;:;;:;;83;;90;;84;;96;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 45 to 54 years old;:;;:;;:;;:;;:;;:;;74;;86;;82;;95;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 55 to 64 years old;:;;:;;:;;:;;:;;:;;65;;75;;71;;91;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 65 to 74 years old;:;;:;;:;;:;;:;;:;;50;;53;;60;;81;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals with no or low formal education;:;;:;;:;;:;;:;;:;;69;;74;;73;;89;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals with medium formal education;:;;:;;:;;:;;:;;:;;85;;90;;84;;97;
Kosovo (under United Nations Security Council Resolution 1244/99);Individuals with high formal education;:;;:;;:;;:;;:;;:;;93;;96;;94;;98;
Canada;All Individuals;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 16 to 24 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 25 to 34 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 35 to 44 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 45 to 54 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 55 to 64 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 65 to 74 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Canada;Individuals with no or low formal education;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
